"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US17031824121","Census Tract 8241.21, Cook County, Illinois","1300","138","0","12","0","12","20","24","138","54","550","122","369","94","165","92","58","44","0","12","0","12",
"1400000US17031824122","Census Tract 8241.22, Cook County, Illinois","2388","260","11","20","16","24","332","206","642","122","1337","179","20","24","30","36","0","17","0","17","0","17",
"1400000US17031824123","Census Tract 8241.23, Cook County, Illinois","2957","220","0","17","0","17","74","78","499","166","349","118","1664","244","309","103","32","37","0","17","30","35",
"1400000US17031824124","Census Tract 8241.24, Cook County, Illinois","1174","180","0","12","0","12","255","129","406","154","153","61","242","86","96","70","12","19","0","12","10","17",
"1400000US17031824125","Census Tract 8241.25, Cook County, Illinois","1547","185","0","12","0","12","238","151","166","90","522","145","482","213","63","51","76","55","0","12","0","12",
"1400000US17031824126","Census Tract 8241.26, Cook County, Illinois","2045","313","0","17","30","47","877","320","474","155","491","129","106","71","9","15","43","52","0","17","15","25",
"1400000US17031824127","Census Tract 8241.27, Cook County, Illinois","1525","219","7","11","0","12","265","101","614","196","482","192","129","77","18","28","0","12","0","12","10","16",
"1400000US17031824128","Census Tract 8241.28, Cook County, Illinois","1719","173","75","51","42","40","262","113","1095","160","139","131","0","12","56","64","50","72","0","12","0","12",
"1400000US17031824129","Census Tract 8241.29, Cook County, Illinois","1743","151","16","25","73","86","514","154","952","152","91","84","39","36","0","12","41","43","17","26","0","12",
"1400000US17031824300","Census Tract 8243, Cook County, Illinois","1884","271","19","29","12","18","437","180","89","53","46","42","201","106","440","146","455","150","88","57","97","58",
"1400000US17031824400","Census Tract 8244, Cook County, Illinois","888","145","27","24","6","9","221","70","114","46","121","62","58","35","90","41","138","122","30","25","83","48",
"1400000US17031824503","Census Tract 8245.03, Cook County, Illinois","2930","279","0","17","18","29","198","111","238","94","478","149","1312","233","367","176","183","108","52","47","84","78",
"1400000US17031824505","Census Tract 8245.05, Cook County, Illinois","2470","314","0","17","0","17","121","125","304","142","338","139","944","252","657","268","65","68","41","52","0","17",
"1400000US17031824507","Census Tract 8245.07, Cook County, Illinois","1864","327","0","12","0","12","45","25","262","78","261","77","596","308","472","115","193","75","0","12","35","54",
"1400000US17031824508","Census Tract 8245.08, Cook County, Illinois","1676","154","69","109","28","33","201","85","232","112","409","126","537","163","184","83","0","12","16","26","0","12",
"1400000US17031824509","Census Tract 8245.09, Cook County, Illinois","1539","216","0","12","0","12","44","68","138","92","230","137","431","156","563","166","84","58","0","12","49","45",
"1400000US17031824601","Census Tract 8246.01, Cook County, Illinois","1718","171","0","12","0","12","133","59","217","108","193","85","363","90","295","94","453","140","42","40","22","24",
"1400000US17031824602","Census Tract 8246.02, Cook County, Illinois","2732","507","0","17","0","17","49","48","655","477","177","100","766","231","361","172","475","147","78","50","171","93",
"1400000US17031824701","Census Tract 8247.01, Cook County, Illinois","1652","311","0","12","46","62","46","49","11","19","67","67","235","100","484","157","304","116","75","53","384","286",
"1400000US17031824702","Census Tract 8247.02, Cook County, Illinois","2539","329","0","17","0","17","57","62","34","39","118","95","436","275","803","222","734","317","194","115","163","122",
"1400000US17031824800","Census Tract 8248, Cook County, Illinois","2543","387","30","56","0","17","398","147","284","189","213","155","429","205","451","218","518","217","62","44","158","122",
"1400000US17031824900","Census Tract 8249, Cook County, Illinois","1176","150","12","18","54","34","135","86","90","68","47","44","79","52","235","98","266","114","123","69","135","71",
"1400000US17031825000","Census Tract 8250, Cook County, Illinois","1824","186","0","12","0","12","134","93","224","104","387","134","407","118","268","95","206","94","122","82","76","50",
"1400000US17031825200","Census Tract 8252, Cook County, Illinois","708","106","0","12","0","12","35","23","70","46","15","18","103","60","338","75","84","46","8","12","55","40",
"1400000US17031825302","Census Tract 8253.02, Cook County, Illinois","2357","240","0","17","21","24","321","176","438","147","489","212","355","102","408","138","89","51","148","122","88","63",
"1400000US17031825303","Census Tract 8253.03, Cook County, Illinois","1769","202","0","12","9","15","176","73","173","78","106","79","299","149","158","81","533","115","241","125","74","54",
"1400000US17031825304","Census Tract 8253.04, Cook County, Illinois","1661","139","0","12","14","22","82","52","582","114","154","89","495","143","111","74","205","73","18","21","0","12",
"1400000US17031825400","Census Tract 8254, Cook County, Illinois","2750","342","0","17","0","17","161","108","695","262","331","118","797","301","282","128","304","136","66","45","114","90",
"1400000US17031825501","Census Tract 8255.01, Cook County, Illinois","2139","316","0","17","0","17","151","79","291","116","140","80","587","200","624","179","269","132","50","56","27","40",
"1400000US17031825503","Census Tract 8255.03, Cook County, Illinois","2738","412","0","17","0","17","75","76","122","110","136","99","719","350","453","187","1046","437","27","32","160","110",
"1400000US17031825504","Census Tract 8255.04, Cook County, Illinois","1415","273","0","12","0","12","102","105","30","43","319","234","598","157","219","113","96","77","40","35","11","18",
"1400000US17031825505","Census Tract 8255.05, Cook County, Illinois","1977","206","0","17","0","17","205","118","434","138","278","154","469","156","298","129","178","86","39","48","76","88",
"1400000US17031825600","Census Tract 8256, Cook County, Illinois","1788","202","0","17","0","17","182","89","58","47","58","53","195","128","350","130","664","165","176","96","105","81",
"1400000US17031825700","Census Tract 8257, Cook County, Illinois","1761","216","0","12","0","12","26","24","268","251","206","91","299","114","323","85","264","89","176","121","199","84",
"1400000US17031825801","Census Tract 8258.01, Cook County, Illinois","1880","203","0","12","0","12","32","39","119","85","120","79","1076","219","281","102","140","84","73","52","39","50",
"1400000US17031825802","Census Tract 8258.02, Cook County, Illinois","2419","341","0","17","0","17","0","17","129","101","419","195","852","238","523","306","400","241","17","42","79","91",
"1400000US17031825803","Census Tract 8258.03, Cook County, Illinois","2603","286","0","17","0","17","497","194","71","68","105","73","1027","257","489","235","358","179","6","12","50","58",
"1400000US17031825900","Census Tract 8259, Cook County, Illinois","1273","141","0","12","0","12","21","26","9","14","33","32","304","123","178","98","389","115","89","64","250","140",
"1400000US17031826000","Census Tract 8260, Cook County, Illinois","1430","236","0","12","0","12","96","71","103","86","8","13","0","12","141","75","281","190","311","113","490","176",
"1400000US17031826100","Census Tract 8261, Cook County, Illinois","2498","234","0","17","0","17","128","111","48","55","33","36","351","173","426","178","425","175","312","128","775","197",
"1400000US17031826201","Census Tract 8262.01, Cook County, Illinois","2385","314","0","12","0","12","225","197","114","74","290","220","1121","164","273","116","155","84","159","123","48","46",
"1400000US17031826202","Census Tract 8262.02, Cook County, Illinois","2242","242","0","17","0","17","10","18","0","17","127","98","370","157","266","146","1065","221","257","188","147","108",
"1400000US17031826301","Census Tract 8263.01, Cook County, Illinois","1605","169","0","12","0","12","6","10","79","69","55","43","340","121","763","195","230","92","66","40","66","44",
"1400000US17031826303","Census Tract 8263.03, Cook County, Illinois","1362","111","0","12","0","12","63","48","10","19","50","40","263","106","397","123","527","115","34","44","18","27",
"1400000US17031826304","Census Tract 8263.04, Cook County, Illinois","1495","246","0","12","0","12","48","53","59","69","112","144","515","236","411","154","288","118","33","45","29","37",
"1400000US17031826401","Census Tract 8264.01, Cook County, Illinois","1491","175","0","12","0","12","32","40","93","66","117","74","381","111","334","184","330","93","66","61","138","71",
"1400000US17031826402","Census Tract 8264.02, Cook County, Illinois","2033","306","0","17","0","17","40","33","10","16","44","47","455","129","518","138","854","339","84","57","28","20",
"1400000US17031826500","Census Tract 8265, Cook County, Illinois","2333","293","0","17","0","17","18","15","117","79","302","152","253","111","222","66","657","208","461","159","303","115",
"1400000US17031826600","Census Tract 8266, Cook County, Illinois","2293","250","0","17","0","17","51","51","96","85","62","35","241","123","223","107","787","215","354","142","479","165",
"1400000US17031826700","Census Tract 8267, Cook County, Illinois","2508","279","0","12","38","48","0","12","181","101","251","133","271","175","313","131","1054","220","221","99","179","126",
"1400000US17031826800","Census Tract 8268, Cook County, Illinois","2063","232","22","37","12","19","150","92","265","153","78","65","262","142","506","186","314","143","137","75","317","128",
"1400000US17031826901","Census Tract 8269.01, Cook County, Illinois","1053","204","0","12","0","12","0","12","0","12","138","178","155","83","194","71","393","113","81","39","92","52",
"1400000US17031826902","Census Tract 8269.02, Cook County, Illinois","727","90","0","12","0","12","0","12","21","24","22","24","50","35","134","61","295","80","49","45","156","64",
