"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"1400000US17031161100","Census Tract 1611, Cook County, Illinois","794","79","749","85","45","39",
"1400000US17031161200","Census Tract 1612, Cook County, Illinois","1113","133","1043","145","70","42",
"1400000US17031161300","Census Tract 1613, Cook County, Illinois","1527","128","1404","145","123","63",
"1400000US17031170100","Census Tract 1701, Cook County, Illinois","1187","292","1143","295","44","46",
"1400000US17031170200","Census Tract 1702, Cook County, Illinois","1238","129","1187","143","51","53",
"1400000US17031170300","Census Tract 1703, Cook County, Illinois","1939","216","1799","222","140","92",
"1400000US17031170400","Census Tract 1704, Cook County, Illinois","1681","252","1617","256","64","54",
"1400000US17031170500","Census Tract 1705, Cook County, Illinois","2052","207","1979","202","73","70",
"1400000US17031170600","Census Tract 1706, Cook County, Illinois","972","113","957","115","15","24",
"1400000US17031170700","Census Tract 1707, Cook County, Illinois","1181","175","1106","181","75","53",
"1400000US17031170800","Census Tract 1708, Cook County, Illinois","1541","182","1471","193","70","59",
"1400000US17031170900","Census Tract 1709, Cook County, Illinois","685","100","637","108","48","42",
"1400000US17031171000","Census Tract 1710, Cook County, Illinois","3059","542","2725","543","334","165",
"1400000US17031171100","Census Tract 1711, Cook County, Illinois","1337","153","1265","161","72","63",
"1400000US17031180100","Census Tract 1801, Cook County, Illinois","2315","281","2185","284","130","114",
"1400000US17031190100","Census Tract 1901, Cook County, Illinois","873","90","812","92","61","45",
"1400000US17031190200","Census Tract 1902, Cook County, Illinois","1719","166","1607","177","112","67",
"1400000US17031190300","Census Tract 1903, Cook County, Illinois","2023","198","1850","228","173","78",
"1400000US17031190401","Census Tract 1904.01, Cook County, Illinois","1368","198","1326","201","42","42",
"1400000US17031190402","Census Tract 1904.02, Cook County, Illinois","1874","235","1782","244","92","57",
"1400000US17031190601","Census Tract 1906.01, Cook County, Illinois","1193","119","1088","131","105","71",
"1400000US17031190602","Census Tract 1906.02, Cook County, Illinois","1641","201","1531","203","110","65",
"1400000US17031190701","Census Tract 1907.01, Cook County, Illinois","916","109","782","117","134","48",
