"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","663700","80031",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","668200","79371",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","638900","105296",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","424200","108650",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","488800","52464",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","289800","36886",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","342700","49382",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","333000","41815",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","333500","27510",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","459800","50215",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","344500","87701",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","599000","211846",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","406400","71397",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","644800","133834",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","681700","104617",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","835900","205251",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","751200","110271",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","798700","57512",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","576900","96944",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","838400","166965",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","1245500","450424",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","552800","130904",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","504400","353772",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","537600","152218",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","461100","68750",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","897700","106918",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","830600","93369",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","760500","106243",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","617100","115355",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","296800","57526",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","351000","94413",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","454100","23084",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","595400","57475",
